data,hora,taxa
2025/02/17,12:36:33,12.86447496735209
2025/02/17,12:36:34,13.327226347356586
2025/02/17,12:36:35,13.189211392513414
2025/02/17,12:36:36,12.973075121578242
2025/02/17,12:36:37,13.58616573674933
2025/02/17,12:36:38,12.96973062017765
2025/02/17,12:36:39,13.072156444745488
2025/02/17,12:36:40,13.286312300466394
2025/02/17,12:36:41,13.281777683236278
2025/02/17,12:36:42,12.781682172106619
2025/02/17,12:37:15,13.255962422492393
2025/02/17,12:37:15,12.661222225590341
2025/02/17,12:37:15,13.21007917475017
2025/02/17,12:37:15,13.051737943034826
2025/02/17,12:37:15,12.678079599710157
2025/02/17,12:37:15,13.480481513747513
2025/02/17,12:37:15,12.812056770821018
2025/02/17,12:37:15,13.223227415304608
2025/02/17,12:37:15,13.077968275982798
2025/02/17,12:37:15,13.023687270121707
2025/02/17,12:37:16,12.805522750436062
2025/02/17,12:37:16,12.953279747066292
2025/02/17,12:37:16,13.431833125192858
2025/02/17,12:37:16,13.1235301886424
2025/02/17,12:37:16,13.14168345058701
2025/02/17,12:37:16,13.133012972612716
2025/02/17,12:37:16,13.246003645766145
2025/02/17,12:37:16,13.139627069853255
2025/02/17,12:37:16,12.826881003851602
2025/02/17,12:37:16,13.083763523160867
2025/02/17,12:37:17,13.59481823517855
2025/02/17,12:37:17,12.768393781983722
2025/02/17,12:37:17,13.252105944679434
2025/02/17,12:37:17,13.200235460769807
2025/02/17,12:37:17,12.957742069487356
2025/02/17,12:37:17,13.513946405383173
2025/02/17,12:37:17,13.077896807947644
2025/02/17,12:37:17,13.436171893160498
2025/02/17,12:37:17,12.785003290029028
2025/02/17,12:37:17,13.503579347049426
2025/02/17,12:37:18,13.38496408055784
2025/02/17,12:37:18,12.939450538974627
2025/02/17,12:37:18,13.001430357747562
2025/02/17,12:37:18,13.44485907138602
2025/02/17,12:37:18,13.472777689537507
2025/02/17,12:37:18,13.629870001364733
2025/02/17,12:37:18,13.575808725897252
2025/02/17,12:37:18,13.069077459546909
2025/02/17,12:37:18,13.552482394147983
2025/02/17,12:37:18,13.586597627972711
2025/02/17,12:37:19,13.244845449580861
2025/02/17,12:37:19,13.13947131716412
2025/02/17,12:37:19,13.614820746748508
2025/02/17,12:37:19,13.124289384218475
2025/02/17,12:37:19,13.459013382273659
2025/02/17,12:37:19,13.032550731477508
2025/02/17,12:37:19,12.929260590692827
2025/02/17,12:37:19,12.655860809837213
2025/02/17,12:37:19,12.988661786879035
2025/02/17,12:37:19,13.54116156058601
2025/02/17,12:37:20,13.612838671220196
2025/02/17,12:37:20,13.470304865654716
2025/02/17,12:37:20,13.443411477295433
2025/02/17,12:37:20,12.876457922684546
2025/02/17,12:37:20,13.336723728207804
2025/02/17,12:37:20,12.761767481442568
2025/02/17,12:37:20,13.327543173536947
2025/02/17,12:37:20,13.1782885483096
2025/02/17,12:37:20,12.893215025578215
2025/02/17,12:37:21,13.328296586224583
2025/02/17,12:37:21,13.051162713686452
2025/02/17,12:37:21,12.684566273997316
2025/02/17,12:37:21,13.404899773203905
2025/02/17,12:37:21,12.759036750486791
2025/02/17,12:37:21,13.376653799386176
2025/02/17,12:37:21,12.805458006649737
2025/02/17,12:37:21,13.217982226400439
2025/02/17,12:37:21,13.310258842650635
2025/02/17,12:37:21,12.757261251442708
2025/02/17,12:37:22,13.226233371863726
2025/02/17,12:37:22,13.156387363259086
2025/02/17,12:37:22,13.10101793053192
2025/02/17,12:37:22,12.926144531070758
2025/02/17,12:37:22,12.760686066944825
2025/02/17,12:37:22,12.979183820968089
2025/02/17,12:37:22,12.876432052680826
2025/02/17,12:37:22,13.11291595375884
2025/02/17,12:37:22,13.174868925000549
2025/02/17,12:37:22,12.826297939369638
2025/02/17,12:37:23,12.753722619957651
2025/02/17,12:37:23,13.163034424783016
2025/02/17,12:37:23,12.693174385127898
2025/02/17,12:37:23,13.593683409961722
2025/02/17,12:37:23,13.386424875776562
2025/02/17,12:37:23,12.666223047375537
2025/02/17,12:37:23,13.36535381206506
2025/02/17,12:37:23,13.294779098534548
2025/02/17,12:37:23,13.221914313032492
2025/02/17,12:37:23,12.75608205286292
2025/02/17,12:37:24,12.911777889859797
2025/02/17,12:37:24,12.975318223294114
2025/02/17,12:37:24,13.169883172104099
2025/02/17,12:37:24,12.865356425600826
2025/02/17,12:37:24,12.915600830288698
2025/02/17,12:37:24,12.815450769240918
2025/02/17,12:37:24,13.20487119299356
2025/02/17,12:37:24,13.028291170442301
2025/02/17,12:37:24,13.46080728866186
2025/02/17,12:37:24,12.95951754419595
2025/02/17,12:37:25,13.368886491663439
